"DATUM_ID","KALENDER_ID","DATUM","WOCHENTAG","TYP","TEXT","DA_T_ERSTELLT_AM","DA_T_GEAENDERT_AM"
"20051226","A","2005-12-26","Montag","HF","Stefanitag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20051231","A","2005-12-31","Samstag","A","Silvester","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20060101","A","2006-01-01","Sonntag","HF","Neujahr","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20060414","A","2006-04-14","Freitag","A","Karfreitag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20060605","A","2006-06-05","Montag","HF","Pfingstmontag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20060815","A","2006-08-15","Dienstag","HF","Mariä Himmelfahrt","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20061223","A","2006-12-23","Samstag","B",,"2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20061225","A","2006-12-25","Montag","HF","Christtag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20061230","A","2006-12-30","Samstag","B",,"2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20070101","A","2007-01-01","Montag","HF","Neujahr","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20070409","A","2007-04-09","Montag","HF","Ostermontag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20070517","A","2007-05-17","Donnerstag","HF","Christi Himmelfahrt","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20070528","A","2007-05-28","Montag","HF","Pfingstmontag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20070607","A","2007-06-07","Donnerstag","HF","Fronleichnam","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20070815","A","2007-08-15","Mittwoch","HF","Mariä Himmelfahrt","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20071223","A","2007-12-23","Sonntag","B",,"2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20071225","A","2007-12-25","Dienstag","HF","Christtag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20071229","A","2007-12-29","Samstag","B",,"2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20071230","A","2007-12-30","Sonntag","B",,"2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20080106","A","2008-01-06","Sonntag","HF","Heilige Drei Könige","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20080324","A","2008-03-24","Montag","HF","Ostermontag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20080501","A","2008-05-01","Donnerstag","HF","Maifeiertag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20080512","A","2008-05-12","Montag","HF","Pfingstmontag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20081026","A","2008-10-26","Sonntag","HF","Nationalfeiertag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20081101","A","2008-11-01","Samstag","HF","Allerheiligen","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20081208","A","2008-12-08","Montag","HF","Mariä Empfängnis","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20081220","A","2008-12-20","Samstag","B",,"2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20081224","A","2008-12-24","Mittwoch","A","Heiliger Abend","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20081226","A","2008-12-26","Freitag","HF","Stefanitag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20081228","A","2008-12-28","Sonntag","B",,"2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20081231","A","2008-12-31","Mittwoch","A","Silvester","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20090106","A","2009-01-06","Dienstag","HF","Heilige Drei Könige","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20090413","A","2009-04-13","Montag","HF","Ostermontag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20090501","A","2009-05-01","Freitag","HF","Maifeiertag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20090521","A","2009-05-21","Donnerstag","HF","Christi Himmelfahrt","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20090611","A","2009-06-11","Donnerstag","HF","Fronleichnam","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20091026","A","2009-10-26","Montag","HF","Nationalfeiertag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20091101","A","2009-11-01","Sonntag","HF","Allerheiligen","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20091208","A","2009-12-08","Dienstag","HF","Mariä Empfängnis","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20091219","A","2009-12-19","Samstag","B",,"2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20091220","A","2009-12-20","Sonntag","B",,"2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20091224","A","2009-12-24","Donnerstag","A","Heiliger Abend","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20091226","A","2009-12-26","Samstag","HF","Stefanitag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20091231","A","2009-12-31","Donnerstag","A","Silvester","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20100101","A","2010-01-01","Freitag","HF","Neujahr","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20100405","A","2010-04-05","Montag","HF","Ostermontag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20100513","A","2010-05-13","Donnerstag","HF","Christi Himmelfahrt","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20100524","A","2010-05-24","Montag","HF","Pfingstmontag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20100603","A","2010-06-03","Donnerstag","HF","Fronleichnam","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20100815","A","2010-08-15","Sonntag","HF","Mariä Himmelfahrt","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20101218","A","2010-12-18","Samstag","B",,"2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20101225","A","2010-12-25","Samstag","HF","Christtag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20110101","A","2011-01-01","Samstag","HF","Neujahr","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20110425","A","2011-04-25","Montag","HF","Ostermontag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20110623","A","2011-06-23","Donnerstag","HF","Fronleichnam","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20110815","A","2011-08-15","Montag","HF","Mariä Himmelfahrt","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20111225","A","2011-12-25","Sonntag","HF","Christtag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20120106","A","2012-01-06","Freitag","HF","Heilige Drei Könige","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20120406","A","2012-04-06","Freitag","A","Karfreitag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20120501","A","2012-05-01","Dienstag","HF","Maifeiertag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20121026","A","2012-10-26","Freitag","HF","Nationalfeiertag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20040101","A","2004-01-01","Donnerstag","HF","Neujahr","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20040412","A","2004-04-12","Montag","HF","Ostermontag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20040520","A","2004-05-20","Donnerstag","HF","Christi Himmelfahrt","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20040531","A","2004-05-31","Montag","HF","Pfingstmontag","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20040610","A","2004-06-10","Donnerstag","HF","Fronleichnam","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
"20040815","A","2004-08-15","Sonntag","HF","Mariä Himmelfahrt","2022-05-10T05:29:47.000","2022-04-12T18:02:01.000"
